"directorio","secuencia_p","orden","sex","age","relab","y_total_m","ocu","totalHoursWorked","p6210","sizeFirm","informal","fex_c"
4551515,1,1,1,32,1,361476.40625,1,7,4,1,1,262.050787820844
4551516,1,1,0,25,5,8e+05,1,48,5,2,1,236.219648515523
4551517,1,1,1,31,4,7e+05,1,48,3,1,1,262.800248480445
4551518,1,1,1,44,5,8e+06,1,48,5,2,0,209.813242554956
4551519,1,1,1,44,1,861476.4375,1,60,3,3,1,209.813242554956
4551519,1,4,0,20,4,781242,1,48,5,5,1,209.813242554956
4551520,1,1,0,43,1,1109044.375,1,48,5,5,0,236.969109175124
4551521,1,1,1,47,4,1200000,1,40,6,5,0,228.059317826388
4551522,1,1,1,36,1,2396666.75,1,51,5,5,0,259.447568904764
4551523,1,1,0,23,1,923453,1,48,5,5,0,219.917897823155
4551524,1,1,1,51,4,550000,1,48,3,1,1,184.996079380052
4551525,1,1,0,42,1,988929.4375,1,48,5,5,0,186.585322165715
4551525,1,2,0,23,1,930929.4375,1,45,6,5,0,186.585322165715
4551526,1,1,1,33,1,1562500,1,60,5,5,0,263.111380492417
4551527,1,1,0,28,1,960829.4375,1,48,6,5,0,241.071249410406
4551528,1,5,0,38,4,750000,1,48,5,4,1,203.786214409397
4551528,1,1,1,61,1,1129453,1,48,3,3,0,203.786214409397
4551528,1,4,0,19,1,8e+05,1,48,5,2,1,203.786214409397
4551528,1,8,0,32,2,1545666.625,1,48,6,5,0,203.786214409397
4551528,1,9,1,36,4,8e+05,1,48,4,3,1,203.786214409397
4551529,1,1,1,24,4,9e+05,1,70,4,1,1,216.592679246603
4551530,1,1,1,60,1,923453,1,48,3,2,0,252.758225836918
4551531,1,1,0,29,1,981596.125,1,48,5,5,0,236.219648515523
4551532,1,1,1,62,4,450000,1,70,1,1,1,252.319897189289
4551533,1,2,0,27,4,6e+05,1,48,5,1,1,263.549709140046
4551533,1,1,1,52,1,1088211,1,50,4,5,0,263.549709140046
4551534,1,2,0,47,1,959929.4375,1,48,3,5,0,236.906248707793
4551534,1,1,1,52,1,1610000,1,50,5,5,0,236.906248707793
4551534,1,3,0,26,1,1117377.625,1,48,6,5,0,236.906248707793
4551534,1,4,1,21,1,869453,1,48,5,2,0,236.906248707793
4551535,1,1,1,53,4,1e+06,1,48,3,1,1,272.351968364572
4551535,1,2,0,57,1,6e+05,1,48,4,2,1,272.351968364572
4551536,1,1,1,32,1,1e+06,1,48,5,2,1,242.396357552795
4551538,1,1,1,33,1,781242,1,48,3,2,1,267.651849375328
4551538,1,2,0,37,4,2e+05,1,16,4,1,1,267.651849375328
4551540,1,1,0,34,1,928453,1,48,5,5,0,211.402485340619
4551541,1,1,1,40,1,930929.4375,1,48,5,5,0,242.112686539953
4551542,1,1,1,34,4,1200000,1,72,3,1,1,255.03429665751
4551542,1,2,0,27,1,1699333.375,1,40,5,4,0,255.03429665751
4551543,1,2,0,43,1,35000,1,10,4,2,1,205.079668981787
4551543,1,4,1,20,1,1e+05,1,24,5,2,1,205.079668981787
4551544,1,1,0,69,4,280000,1,42,4,1,1,253.975648870214
4551545,1,1,1,32,1,1249687.375,1,60,5,2,0,267.651849375328
4551546,1,1,0,21,4,1200000,1,72,6,5,1,215.815757587873
4551547,1,1,1,30,1,2138211,1,48,4,5,0,238.294217317513
4551550,1,1,1,39,1,843742,1,60,5,5,0,263.111380492417
4551551,1,3,0,19,1,1075711,1,48,5,5,0,236.74332188654
4551552,1,1,1,19,1,893619.6875,1,48,5,5,1,196.938248978554
4551552,1,2,0,20,1,869453,1,48,5,5,0,196.938248978554
4551553,1,2,0,28,1,842718.4375,1,48,5,4,0,258.698108245163
4551553,1,1,1,31,4,8e+05,1,40,5,1,1,258.698108245163
4551557,1,1,0,31,4,5e+05,1,49,3,1,1,244.672200530728
4551558,1,1,1,54,4,220000,1,20,3,1,1,285.589840222057
4551558,1,2,1,50,4,1e+06,1,84,5,1,1,285.589840222057
4554542,1,3,1,24,1,950711,1,48,6,4,0,242.682976452125
4554544,1,1,0,59,1,842718.4375,1,40,5,4,0,281.592556236728
4554545,1,2,0,54,4,120000,1,48,5,1,1,223.838922426732
4554546,1,1,0,44,1,1200000,1,48,5,5,0,218.091600565805
4554546,1,2,1,21,1,514000,1,48,5,2,1,218.091600565805
4554547,1,1,1,33,1,1560211,1,48,5,5,0,239.071138976244
4554547,2,1,1,24,1,1103166.625,1,48,6,5,0,239.071138976244
4554548,1,3,1,25,1,1180000,1,64,5,2,1,271.134545331276
4554548,1,1,1,57,5,1800000,1,72,4,2,0,271.134545331276
4554549,1,2,1,37,4,7e+05,1,40,3,1,1,283.226623664152
4554549,1,1,0,35,1,1084331.625,1,48,6,5,0,283.226623664152
4554549,1,7,1,33,1,961953,1,48,6,5,0,283.226623664152
4554550,1,3,1,25,1,1500000,1,48,5,5,0,281.926028634404
4554550,1,1,1,27,1,1200000,1,48,4,4,1,281.926028634404
4554551,1,2,1,38,4,6e+05,1,48,5,1,1,257.948647585562
4554551,1,1,0,30,4,1e+06,1,54,6,1,1,257.948647585562
4554552,1,1,0,52,4,2600000,1,40,6,5,0,226.114765404664
4554552,2,1,0,45,1,959929.4375,1,48,6,5,0,226.114765404664
4554553,1,1,1,32,1,810842,1,48,6,5,0,231.980342429964
4554553,2,1,1,61,4,4e+05,1,56,5,1,1,231.980342429964
4554553,2,2,0,49,4,80000,1,12,5,1,1,231.980342429964
4554553,3,1,1,23,1,8e+05,1,48,5,2,1,231.980342429964
4554553,3,2,0,23,1,755000,1,45,6,5,0,231.980342429964
4554554,1,1,0,57,4,8e+05,1,32,4,1,1,221.392533872375
4554554,1,3,0,34,1,9e+05,1,36,5,5,0,221.392533872375
4554555,1,1,1,41,4,2e+06,1,56,4,1,1,233.131484410658
4554555,1,3,0,21,1,869453,1,48,6,5,0,233.131484410658
4554556,1,1,1,46,1,10833333,1,48,6,4,0,262.800248480445
4554556,1,2,0,33,4,8e+05,1,25,6,5,0,262.800248480445
4554557,1,1,0,31,1,5103333.5,1,40,6,4,0,258.698108245163
4554557,1,2,1,41,1,3600000,1,60,6,3,0,258.698108245163
4554559,1,1,0,27,1,3208333.25,1,48,6,2,0,259.447568904764
4554559,1,2,1,29,1,1.5e+07,1,48,6,2,0,259.447568904764
4554562,1,2,0,47,1,1.3e+07,1,90,6,5,0,240.570060295446
4554563,1,2,1,32,1,5416666.5,1,50,6,5,0,263.549709140046
4554563,1,1,0,28,1,4333333.5,1,40,6,2,0,263.549709140046
4554564,1,1,0,24,1,1e+07,1,40,6,4,0,215.815757587873
4554565,1,1,0,25,1,20462500,1,48,6,4,0,236.969109175124
4554566,1,1,1,47,5,5e+06,1,60,6,3,0,263.111380492417
4554567,1,2,1,50,4,6e+06,1,48,6,5,0,259.885897552393
4554567,1,1,0,46,4,6e+05,1,40,6,1,1,259.885897552393
4554568,1,1,0,69,1,8e+05,1,40,6,2,1,249.873508634932
4554571,1,1,0,26,1,3033333.25,1,48,6,4,0,242.545885459626
4554572,1,2,1,26,1,3e+07,1,50,6,5,0,259.447568904764
4554574,1,1,1,36,1,4875000,1,48,6,5,0,259.447568904764
4554574,1,2,0,29,1,2133333.25,1,48,6,5,0,259.447568904764
4554575,1,3,0,29,4,5e+06,1,48,6,5,0,255.783757317111
4554575,1,1,1,48,4,1600000,1,50,6,5,0,255.783757317111
4554575,1,2,0,45,4,2800000,1,50,6,5,0,255.783757317111
4554577,1,2,0,25,1,1500000,1,40,6,5,0,251.786473331782
4554577,1,1,0,59,1,3e+06,1,45,6,5,0,251.786473331782
4554577,1,4,0,44,3,8e+05,1,48,5,1,0,251.786473331782
4554578,1,1,1,52,4,2e+06,1,20,6,1,0,238.294217317513
4554580,1,1,0,44,1,5400000,1,40,6,5,0,236.969109175124
4554583,1,2,0,33,1,17333334,1,40,6,5,0,233.880945070259
4554583,1,1,1,37,1,7583333.5,1,40,6,5,0,233.880945070259
4554584,1,1,0,21,4,250000,1,32,5,1,1,215.815757587873
4554585,1,2,0,51,1,2e+06,1,30,6,4,0,248.656085601636
4554585,1,1,1,57,1,1562500,1,45,6,3,0,248.656085601636
4554586,1,2,0,24,1,1300000,1,48,6,4,0,207.738673752966
4554586,1,1,0,46,3,936119.6875,1,35,3,1,0,207.738673752966
4554586,1,3,0,26,1,1035000,1,45,5,5,0,207.738673752966
4554588,1,1,0,30,1,5600000,1,30,6,5,0,241.071249410406
4554599,1,1,1,52,1,1655333.375,1,40,5,5,0,240.570060295446
4556899,1,1,1,60,1,975000,1,48,3,5,0,223.026601299799
4556899,1,3,0,34,1,1809166.625,1,42,6,5,0,223.026601299799
4556899,1,6,0,24,4,1570000,1,48,6,5,0,223.026601299799
4556899,1,7,1,24,4,1600000,1,20,6,1,1,223.026601299799
4556900,1,2,0,32,1,3450000,1,50,6,4,0,250.311837282561
4556901,1,1,0,45,1,1318333.375,1,45,6,5,0,236.969109175124
4556902,1,1,1,35,1,1020929.4375,1,48,6,4,0,190.935733945637
4556902,1,2,0,36,1,1020929.4375,1,48,6,4,0,190.935733945637
4559809,1,1,1,32,4,1e+06,1,72,5,1,1,263.111380492417
4559810,1,2,0,41,2,3367583.25,1,30,6,5,0,271.134545331276
4559811,1,2,1,61,1,1300000,1,48,6,4,0,261.560485061444
4559812,1,1,1,67,4,5e+05,1,48,3,1,0,523.120970122888
4559813,2,1,1,56,5,3e+06,1,48,3,2,1,284.038944791084
4559814,1,2,1,30,1,1110666.625,1,48,5,4,0,286.028168869686
4559814,1,1,0,52,1,750000,1,96,4,2,1,286.028168869686
4559815,1,4,1,29,1,1400000,1,48,6,4,0,297.681109539726
4559815,1,6,0,56,1,1411144.375,1,45,6,2,0,297.681109539726
4559815,1,11,0,33,5,3e+06,1,50,6,3,1,297.681109539726
4559815,1,10,0,51,4,781242,1,40,6,5,0,297.681109539726
4559815,1,8,1,53,1,1291666.625,1,48,5,5,0,297.681109539726
4559816,1,2,0,34,1,1008000,1,48,5,5,0,239.820599635845
4559816,1,1,1,39,1,3208333.25,1,91,6,5,0,239.820599635845
4559817,1,1,0,43,1,2e+05,1,48,5,2,1,336.914548431994
4559818,1,3,1,22,1,7e+05,1,48,5,2,1,375.202692110286
4559818,1,4,1,21,1,7e+05,1,84,5,2,1,375.202692110286
4559818,1,2,1,23,1,1100000,1,70,5,5,0,375.202692110286
4559819,1,1,1,41,2,3659600,1,70,6,5,0,233.880945070259
4559821,1,2,1,23,1,2050000,1,40,6,5,0,230.996000025614
4559822,1,4,0,63,4,5e+05,1,12,4,1,0,545.580594024403
4559822,1,2,0,27,4,7e+05,1,26,5,1,1,545.580594024403
4559822,1,1,1,30,1,1092211,1,48,5,5,0,545.580594024403
4559823,1,1,1,53,4,350000,1,54,5,1,1,221.692551686127
4559823,1,2,0,41,1,930929.4375,1,48,5,3,0,221.692551686127
4559824,1,1,0,25,1,1349687.375,1,48,5,4,0,175.972804297395
4559824,1,3,0,21,1,1100000,1,48,5,5,0,175.972804297395
4559825,1,1,1,34,1,1279877.625,1,45,6,5,0,513.65427866187
4559827,1,1,1,25,1,8e+05,1,48,5,3,1,259.21089526062
4559827,1,7,1,53,1,1e+06,1,78,3,3,1,259.21089526062
4559829,1,3,1,28,1,858000,1,48,5,2,0,534.378470915435
4559830,1,4,1,24,1,988211,1,48,4,4,0,200.977528746505
4559830,1,1,1,49,1,1217811,1,48,3,4,0,200.977528746505
4559830,1,2,0,47,4,3e+05,1,12,3,1,1,200.977528746505
4559833,1,3,0,26,1,898619.6875,1,48,5,5,0,257.896673473791
4559833,1,1,1,61,1,1862500,1,48,6,4,0,257.896673473791
4559834,1,1,1,25,1,958000,1,48,5,5,0,262.800248480445
4559835,1,1,1,31,1,930929.4375,1,48,5,5,1,258.698108245163
4559835,1,2,0,37,3,150000,1,60,5,1,1,258.698108245163
4559836,1,2,1,32,1,930929.4375,1,48,5,2,0,263.549709140046
4559836,1,1,0,26,1,930929.4375,1,48,5,3,0,263.549709140046
4559837,1,1,0,31,1,927619.6875,1,48,5,2,0,218.091600565805
4559838,1,1,0,41,1,962386.3125,1,40,4,5,0,167.707813556396
4559838,1,4,0,24,1,4e+05,1,24,4,4,1,167.707813556396
4559838,1,2,1,21,4,1800000,1,48,4,5,0,167.707813556396
4559839,1,2,0,26,1,781242,1,48,5,5,0,272.790297012202
4559839,1,1,1,30,1,781242,1,48,5,2,0,272.790297012202
4559840,1,2,1,46,1,2e+05,1,12,5,2,1,240.570060295446
4559840,1,1,0,38,2,3180000,1,32,6,5,0,240.570060295446
4559841,1,2,0,32,1,1008711,1,48,6,5,0,233.818084602928
4559841,1,1,1,31,1,959929.4375,1,48,6,5,0,233.818084602928
4559841,2,2,0,50,1,1688877.625,1,48,6,5,0,233.818084602928
4559841,2,1,1,42,1,959929.4375,1,48,5,4,0,233.818084602928
4559842,1,2,1,36,4,1e+06,1,50,5,1,1,239.820599635845
4559843,1,3,1,36,1,1342377.625,1,60,5,5,0,284.038944791084
4559844,1,1,1,58,1,842718.4375,1,78,3,2,1,265.161436181766
4559844,1,3,1,47,4,1600000,1,70,3,2,1,265.161436181766
4559845,1,2,1,43,4,1500000,1,72,6,1,1,272.351968364572
4559847,1,2,1,35,1,1099044.375,1,48,5,4,0,272.351968364572
4559848,1,2,0,27,1,1274833.375,1,50,6,5,0,250.311837282561
4559849,1,1,1,30,1,2025000,1,40,6,4,0,259.447568904764
4559850,1,2,1,43,4,1500000,1,48,3,2,1,259.447568904764
4559850,1,1,0,32,1,1042377.6875,1,48,6,4,0,259.447568904764
4559851,1,1,0,36,4,9e+05,1,70,5,1,1,222.193740801088
4559853,1,2,1,36,1,6e+05,1,75,4,1,1,209.813242554956
4559853,1,1,0,35,1,1001544.3125,1,48,5,4,0,209.813242554956
4559854,1,1,1,34,4,1200000,1,40,6,2,0,263.549709140046
4559854,1,2,0,32,2,2151333.25,1,30,6,5,0,263.549709140046
4559855,1,2,0,39,2,3696666.75,1,48,6,5,0,263.549709140046
4559855,1,1,1,41,4,2e+05,1,10,5,1,1,263.549709140046
4559856,1,1,1,36,4,8e+05,1,48,5,2,1,266.464060068098
4559857,1,1,0,64,4,2e+05,1,37,3,1,1,272.351968364572
4559857,1,2,1,33,4,3400000,1,48,6,5,0,272.351968364572
4559859,1,2,0,31,1,990129.4375,1,48,6,5,0,244.672200530728
4559859,1,1,1,34,4,8e+05,1,48,3,1,1,244.672200530728
4559860,1,2,0,22,1,1500000,1,48,6,5,0,225.056345460028
4559861,1,1,1,27,1,1138794.375,1,54,6,5,0,263.111380492417
4559862,1,1,1,41,4,1200000,1,45,5,3,1,196.875388511223
4559862,1,2,0,42,1,1988211,1,40,6,5,0,196.875388511223
4559863,1,2,1,56,4,6e+06,1,30,6,1,0,248.656085601636
4559863,1,1,0,53,1,1069877.625,1,48,6,5,0,248.656085601636
4559864,1,1,1,50,1,781242,1,40,5,2,1,240.570060295446
4559865,1,3,1,49,1,781242,1,48,4,4,1,224.993484992697
4559866,1,2,0,23,1,350000,1,24,5,2,1,237.544756657912
4559866,1,1,1,28,4,1200000,1,70,4,1,1,237.544756657912
4559867,1,1,0,46,1,3093333.25,1,40,6,5,0,192.5249767313
4559868,1,1,1,26,4,1800000,1,60,4,2,1,241.646896893194
4559871,1,1,0,32,1,1604877.625,1,48,6,4,0,215.504625575901
4559871,1,4,0,24,1,8e+05,1,24,5,5,0,215.504625575901
4559872,1,1,1,44,1,6250000,1,48,6,5,0,263.111380492417
4559874,1,4,1,39,1,3280000,1,48,6,5,0,299.99121611679
4559874,1,1,0,53,1,1921544.375,1,48,6,4,0,299.99121611679
4559874,1,2,1,33,4,8e+05,1,40,6,1,1,299.99121611679
4559874,1,3,1,29,4,1800000,1,40,6,1,1,299.99121611679
4559875,1,7,0,33,1,1829000,1,40,6,5,0,261.186492582141
4559875,1,1,1,39,4,5e+05,1,45,6,1,0,261.186492582141
4559875,1,2,0,35,4,5e+05,1,40,6,3,0,261.186492582141
4559875,1,6,0,68,3,350000,1,50,4,1,1,261.186492582141
4559877,1,2,0,65,3,842908.6875,1,60,3,1,0,259.114096507088
4559879,1,1,0,52,1,9e+05,1,20,6,2,0,214.427788978152
4559880,1,5,1,21,1,869453,1,48,6,5,0,213.414193675277
4559880,1,4,0,22,1,869453,1,40,5,5,0,213.414193675277
4559881,1,1,1,77,4,1e+07,1,10,6,1,0,284.038944791084
4559881,1,2,0,73,4,3e+06,1,10,6,1,1,284.038944791084
4559881,1,3,1,47,4,2e+06,1,10,6,5,0,284.038944791084
4559883,1,3,0,26,1,975000,1,48,6,5,0,268.625296309588
4559883,1,2,0,52,4,750000,1,40,5,1,1,268.625296309588
4559883,1,5,1,31,1,932786.3125,1,48,5,4,0,268.625296309588
4559883,1,4,1,22,1,160000,1,20,6,2,1,268.625296309588
4559884,1,1,1,37,2,3300000,1,60,6,5,0,239.820599635845
4559885,1,3,1,29,1,5350000,1,40,6,5,0,293.613005060916
4559885,1,4,1,27,1,3250000,1,45,6,5,0,293.613005060916
4559886,1,1,1,62,4,3e+05,1,30,4,1,0,261.560485061444
4559887,1,2,0,53,4,80000,1,24,5,1,1,248.656085601636
4559888,1,1,1,55,1,750000,1,50,4,2,1,198.272298592226
4559889,1,3,1,19,4,70000,1,15,4,1,1,215.752897120541
4559889,1,2,1,48,4,1300000,1,48,6,5,0,215.752897120541
4559889,1,1,0,40,1,930929.4375,1,48,5,5,0,215.752897120541
4559890,1,2,0,59,4,6500000,1,40,6,5,0,250.569050298485
4559890,1,5,0,47,3,842908.6875,1,48,3,1,1,250.569050298485
4559890,1,4,0,28,1,2166666.75,1,40,6,5,0,250.569050298485
4559890,1,1,1,56,4,7e+06,1,40,6,5,0,250.569050298485
4559891,1,1,0,44,4,1200000,1,40,6,4,0,238.732545965142
4559892,1,1,1,57,5,2500000,1,60,5,2,1,233.880717227599
4559892,1,2,0,45,4,40000,1,18,5,1,1,233.880717227599
4559892,1,3,1,20,1,1e+06,1,36,5,2,1,233.880717227599
4559893,1,1,0,63,4,240000,1,20,3,1,1,249.873508634932
4559894,1,1,1,50,1,1609000,1,72,4,2,0,215.752897120541
4559896,1,1,1,62,1,1008806.625,1,54,5,5,0,280.375133203431
4559896,1,3,0,27,1,1565473.375,1,48,6,5,0,280.375133203431
4559897,1,1,0,38,4,1e+06,1,36,3,1,1,241.071249410406
4559899,1,1,0,43,4,1e+06,1,60,6,1,1,236.969109175124
4559900,1,2,0,75,5,4e+06,1,40,6,3,1,261.560485061444
4559901,1,2,1,47,1,750000,1,60,5,3,1,239.820599635845
4559901,1,1,0,43,1,797908.6875,1,42,5,3,1,239.820599635845
4559902,1,1,1,69,1,2275000,1,42,6,4,0,257.896673473791
4559902,1,3,0,30,4,3800000,1,48,6,5,0,257.896673473791
4559903,1,1,1,21,1,929473.3125,1,48,6,4,0,244.233871883099
4559903,1,2,1,45,1,838333.3125,1,48,6,5,0,244.233871883099
4559904,1,1,0,60,5,7e+05,1,30,6,2,0,187.357986125701
4559905,1,2,0,60,1,1566544.375,1,45,5,4,0,261.560485061444
4559906,1,3,1,40,1,2600000,1,48,6,5,0,213.029208593313
4559907,1,2,1,26,1,888211,1,48,6,5,0,204.263976273429
4559908,1,1,0,34,1,1167140,1,48,5,5,0,240.570060295446
4559908,1,2,1,24,1,871140,1,48,5,5,0,240.570060295446
4559908,1,3,1,47,4,1500000,1,84,5,1,0,240.570060295446
4559909,1,1,1,42,1,2491666.75,1,30,6,5,0,259.447568904764
4559909,1,2,0,41,1,4533333.5,1,48,6,5,0,259.447568904764
4559910,1,2,0,32,2,1841666.75,1,75,6,5,0,258.698108245163
4559910,1,1,1,28,2,3756666.75,1,90,6,5,0,258.698108245163
4559911,1,1,1,39,1,2195666.75,1,48,6,2,0,263.549709140046
4559911,1,2,0,34,1,2195666.75,1,48,6,2,0,263.549709140046
4559912,1,2,1,50,4,3e+05,1,40,4,2,1,297.276816648569
4559913,1,3,1,29,1,781242,1,48,6,4,0,294.830428094213
4559913,1,2,1,34,4,1e+07,1,84,6,3,0,294.830428094213
4559914,1,2,0,53,1,871901,1,48,5,4,0,196.683055806563
4559914,1,1,1,57,1,781242,1,50,4,2,1,196.683055806563
4559914,1,3,1,32,1,2036666.625,1,55,6,5,0,196.683055806563
4559915,1,1,1,61,1,9e+05,1,48,3,2,1,207.501772266162
4559915,1,3,1,35,1,120000,1,8,1,2,1,207.501772266162
4559916,1,2,0,46,3,781242,1,24,4,1,1,234.63040572986
4559917,1,1,1,50,1,930929.4375,1,48,5,5,0,240.570060295446
4559917,1,2,0,40,1,1130929.375,1,72,6,5,0,240.570060295446
4559917,1,3,1,19,1,1e+06,1,48,6,4,1,240.570060295446
4559918,1,1,1,26,4,6e+05,1,40,5,1,1,246.498497788077
4559919,1,1,1,33,2,2118333.25,1,56,5,5,0,257.948647585562
4559919,1,2,0,38,1,4875000,1,43,6,5,0,257.948647585562
4559920,1,1,1,38,4,8e+05,1,48,5,1,1,235.955513872249
4559920,1,2,0,23,3,1300000,1,72,6,2,1,235.955513872249
4559920,1,4,1,28,4,8e+05,1,16,5,1,1,235.955513872249
4559920,1,3,0,20,1,760000,1,8,4,4,1,235.955513872249
4559921,1,1,0,42,4,3e+06,1,20,6,2,0,236.969109175124
4559922,1,1,0,29,4,6e+05,1,35,3,1,1,211.402485340619
4559923,1,2,1,24,1,1171544.375,1,35,6,4,0,233.44238857997
4559923,1,1,1,56,4,2e+07,1,50,6,2,0,233.44238857997
4559924,1,2,0,61,1,952619.6875,1,48,3,5,0,284.038944791084
4559925,1,2,1,21,1,6e+05,1,6,5,4,1,233.44238857997
4559925,1,1,1,60,4,1e+06,1,35,5,1,1,233.44238857997
4559926,1,2,0,25,1,1072211,1,84,4,3,0,266.902388715727
4559927,1,2,1,19,4,750000,1,12,5,2,0,222.193740801088
4559927,1,1,0,41,1,961953,1,48,6,5,0,222.193740801088
4559928,1,2,1,20,1,3e+05,1,12,6,4,1,218.091600565805
4559928,1,1,0,44,4,2e+06,1,20,6,1,1,218.091600565805
4559930,1,1,1,25,1,6e+05,1,20,5,4,1,477.465091930284
4559931,1,3,0,27,1,1562500,1,48,6,5,0,212.089085532888
4559931,1,1,1,52,5,5e+06,1,48,6,2,1,212.089085532888
4559931,1,4,1,24,4,1e+06,1,20,5,1,1,212.089085532888
4559933,1,1,1,22,4,1e+05,1,20,6,5,1,221.755412153458
4559935,1,1,0,49,1,847908.6875,1,90,5,2,1,255.783757317111
4559935,1,2,1,54,1,781242,1,84,3,2,1,255.783757317111
4559935,1,3,0,49,1,847908.6875,1,84,3,2,1,255.783757317111
4559936,1,1,1,44,1,6208333.5,1,48,6,5,0,212.089085532888
4559936,1,2,0,41,1,1259090,1,48,4,3,0,212.089085532888
4559936,1,3,0,23,1,7526833.5,1,48,6,4,0,212.089085532888
4559936,1,4,1,19,1,864166.6875,1,35,6,4,0,212.089085532888
4559936,1,5,0,49,2,2393750,1,33,6,5,0,212.089085532888
4559937,1,1,1,50,1,930286.3125,1,48,5,4,0,263.988037787675
4559937,1,2,0,47,1,926119.6875,1,40,5,2,0,263.988037787675
4559938,1,1,0,38,1,991119.6875,1,24,6,2,0,212.15194600022
4559940,1,1,1,22,4,350000,1,48,5,1,1,202.87790354414
4559940,1,2,1,21,1,869453,1,48,5,4,0,202.87790354414
4559941,1,1,1,27,1,1305311,1,48,6,5,0,242.396357552795
4559942,1,1,1,53,5,8e+05,1,60,6,2,1,238.294217317513
4559942,1,2,0,24,4,2e+06,1,48,6,5,0,238.294217317513
4559943,1,1,1,37,1,991553,1,48,6,5,0,262.800248480445
4559943,1,2,0,37,4,50000,1,1,6,1,1,262.800248480445
4559944,1,1,1,22,1,896119.6875,1,48,4,2,0,219.416708708194
4559944,1,3,1,29,1,8e+05,1,48,5,2,1,219.416708708194
4559946,1,1,1,28,1,4100000,1,40,6,4,0,202.815043076808
4559946,1,5,1,19,4,781242,1,16,6,5,1,202.815043076808
4559947,1,1,1,55,1,8666667,1,50,6,5,0,259.22178161618
4559947,1,3,1,27,4,3500000,1,40,6,5,0,259.22178161618
4559948,1,1,1,51,1,3500000,1,48,6,5,0,240.570060295446
4559948,1,2,0,50,1,2395833.25,1,48,6,5,0,240.570060295446
4559949,1,2,0,50,1,720000,1,24,5,2,0,262.685641744003
4559949,1,4,1,45,1,1562500,1,120,6,4,0,262.685641744003
4559952,1,1,0,47,1,8e+05,1,48,3,4,1,212.15194600022
4559952,1,2,0,19,1,8e+05,1,48,5,2,1,212.15194600022
4559953,1,1,1,39,1,1200000,1,30,6,3,0,239.820599635845
4559954,1,1,1,51,4,2e+05,1,56,5,3,1,285.589840222057
4559955,1,2,0,51,2,3158333.25,1,48,6,5,0,221.692551686127
4559955,1,3,1,24,1,2958333.25,1,40,6,5,0,221.692551686127
4559956,1,1,0,53,1,7850000,1,40,6,5,0,255.783757317111
4559956,1,2,1,31,1,2383333.25,1,40,6,4,0,255.783757317111
4559956,1,3,0,28,1,1300000,1,40,6,4,0,255.783757317111
4559957,1,1,1,60,4,8e+05,1,50,6,4,1,252.319897189289
4559958,1,1,1,32,4,2800000,1,35,6,1,0,197.333535369313
4559960,1,1,0,36,4,8e+05,1,72,5,2,1,238.732545965142
4559960,1,2,1,50,4,1e+06,1,60,5,1,1,238.732545965142
4559961,1,1,1,25,1,4750000,1,30,6,2,0,285.589840222057
4559961,1,2,1,28,1,1715000,1,40,6,5,0,285.589840222057
4559963,1,1,0,38,1,3683333.25,1,45,6,5,0,212.15194600022
4559964,1,2,1,22,1,474333.34375,1,16,6,5,0,233.44238857997
4559966,1,1,1,64,4,2e+06,1,60,5,1,0,233.079510298887
4559966,1,3,0,36,1,1600000,1,48,6,5,0,233.079510298887
4559967,1,1,1,60,1,8e+05,1,66,5,2,1,229.715716524986
4559967,1,2,0,51,4,950000,1,60,5,2,1,229.715716524986
4559968,1,1,1,45,4,1300000,1,60,3,1,0,230.217133482606
4559968,1,4,0,25,4,1800000,1,40,6,2,0,230.217133482606
4559969,1,1,1,30,1,923453,1,60,5,5,0,263.549709140046
4559971,1,1,1,49,4,4500000,1,40,6,5,0,240.570060295446
4559974,1,1,1,35,1,954119.6875,1,60,4,5,0,244.672200530728
4559976,1,1,0,50,4,1e+06,1,48,6,1,0,236.969109175124
4559977,1,1,1,44,1,8166666.5,1,48,6,5,0,276.892437247484
4559977,1,2,0,41,4,5e+05,1,40,6,1,0,276.892437247484
4559979,1,1,1,43,1,6800000,1,48,6,5,0,259.447568904764
4559979,1,2,0,33,1,8200000,1,40,6,5,0,259.447568904764
4559980,1,1,1,64,5,8e+06,1,40,6,5,0,252.319897189289
4559981,1,1,1,26,1,899053,1,48,5,5,0,237.544756657912
4559982,1,1,1,27,1,1300000,1,48,5,4,1,217.917787388992
4559982,1,5,1,20,1,7e+05,1,48,5,2,1,217.917787388992
4559983,1,1,1,60,1,1251544.375,1,48,3,5,0,258.33500212142
4559983,1,3,0,26,1,869453,1,40,6,5,0,258.33500212142
4559983,1,4,0,31,1,899053,1,36,6,5,0,258.33500212142
4559984,1,1,1,31,1,6458333.5,1,48,6,5,0,263.549709140046
4559985,1,1,1,48,1,1310877.625,1,48,4,5,0,215.752897120541
4559985,1,2,0,46,1,900853,1,48,4,5,0,215.752897120541
4559985,1,3,1,23,4,8e+05,1,48,4,1,1,215.752897120541
4559986,1,1,1,68,4,4e+05,1,72,1,1,1,257.896673473791
4559986,1,3,0,28,1,1002786.3125,1,48,6,5,0,257.896673473791
4559988,1,2,0,27,3,998000,1,48,6,1,0,525.60049696089
4559989,1,1,0,46,4,7e+05,1,50,3,1,1,218.091600565805
4559989,1,2,1,19,1,1e+05,1,8,6,2,1,218.091600565805
4559990,1,2,0,40,1,3e+05,1,48,4,2,1,223.894317123774
