"directorio","secuencia_p","orden","sex","age","relab","y_total_m","ocu","totalHoursWorked","p6210","sizeFirm","informal","fex_c"
4514411,1,1,1,47,1,766883.6875,1,48,5,4,0,194.208921972393
4514411,1,2,0,50,1,798967.0625,1,48,5,5,0,194.208921972393
4514412,1,1,1,35,1,1541473.375,1,50,6,5,0,204.858843475323
4514412,1,2,0,37,1,889217,1,40,6,5,0,204.858843475323
4514413,1,3,0,24,1,1058300,1,45,6,5,0,134.415579182944
4514413,1,2,0,47,3,320000,1,36,4,1,1,134.415579182944
4514414,1,1,1,43,4,2e+06,1,70,5,1,1,194.208921972393
4514415,1,3,1,19,4,1700000,1,48,5,3,1,228.011704249585
4514415,1,2,1,18,1,1162306.625,1,48,6,4,0,228.011704249585
4514415,1,1,0,46,3,360000,1,40,5,1,1,228.011704249585
4514416,1,2,0,57,1,780000,1,48,5,5,0,210.553591911138
4514416,1,3,1,24,1,6e+05,1,16,5,2,1,210.553591911138
4514416,1,5,0,20,1,737717,1,48,6,4,0,210.553591911138
4514418,1,1,0,57,4,8e+05,1,32,4,1,0,254.386811904384
4514419,1,3,1,42,1,737717,1,50,4,2,1,238.362792140527
4514420,1,2,1,25,1,1274806.625,1,48,5,5,0,258.629844712917
4514421,1,2,0,58,2,2333333.25,1,30,6,5,0,234.119759331995
4514422,1,1,1,46,1,2600000,1,50,5,4,0,243.471239664797
4514423,1,1,1,54,4,5e+05,1,5,4,1,1,209.668457387605
4514423,1,3,1,25,1,950000,1,48,5,5,0,209.668457387605
4514424,1,1,0,31,1,2166666.75,1,48,6,5,0,250.444709462943
4514428,1,2,0,23,1,1599806.625,1,45,6,5,0,262.584061093751
4514428,1,1,1,25,1,903140,1,40,6,3,0,262.584061093751
4514429,1,1,1,26,1,1200000,1,48,5,2,1,352.079215448786
4514430,1,1,1,31,5,4500000,1,48,6,2,0,254.687742271476
4514430,1,2,0,35,1,4441000,1,48,6,5,0,254.687742271476
4514431,1,1,1,52,1,1166473.375,1,48,4,5,0,243.471239664797
4514431,1,2,0,51,1,882333.4375,1,48,4,5,0,243.471239664797
4514433,1,2,0,49,4,3e+05,1,48,5,2,1,230.177656890553
4514433,1,1,1,60,1,1483140,1,54,5,5,0,230.177656890553
4514434,1,1,1,30,1,1304806.625,1,48,5,3,0,258.086429300209
4514434,2,1,1,32,1,9e+05,1,84,4,2,1,258.086429300209
4514434,4,1,1,27,1,1223140,1,48,3,3,0,258.086429300209
4514435,1,1,1,52,4,6e+05,1,70,5,2,1,194.208921972393
4514435,1,2,0,48,4,6e+05,1,70,5,2,1,194.208921972393
4514435,1,3,1,21,1,737717,1,48,6,5,0,194.208921972393
4514436,1,1,1,30,1,1e+06,1,48,6,5,0,263.1506421975
4514438,1,3,1,27,1,3150000,1,45,6,5,0,238.362792140527
4514438,1,1,1,59,1,1166473.375,1,48,3,5,0,238.362792140527
4514438,1,2,0,57,3,1300000,1,40,3,1,0,238.362792140527
4514439,1,2,0,61,4,450000,1,48,3,1,1,296.659572598165
4514439,1,1,1,52,4,8e+05,1,48,3,1,1,296.659572598165
4514440,1,1,1,43,1,8e+05,1,65,5,2,1,194.208921972393
4514442,1,1,1,42,1,1403806.625,1,48,6,5,0,263.1506421975
4514444,1,1,0,50,4,350000,1,28,6,1,1,201.182391770539
4514446,1,2,0,26,1,3e+06,1,60,6,2,1,241.981809536919
4514446,1,1,0,48,5,4e+06,1,60,4,2,1,241.981809536919
4514447,1,1,1,36,4,1250000,1,70,5,2,1,254.687742271476
4514448,1,3,1,22,1,820857,1,48,5,4,0,222.903256725315
4514449,1,5,0,41,1,3250000,1,48,6,5,0,184.880607330631
4514450,1,3,0,44,1,1254000,1,48,5,5,0,285.729451549023
4514450,1,4,1,21,1,1383140,1,48,6,5,0,285.729451549023
4514450,1,5,1,19,2,5e+05,1,48,5,5,0,285.729451549023
4514450,1,8,1,37,4,8e+05,1,60,5,1,1,285.729451549023
4514450,1,7,0,39,1,991333.4375,1,98,6,3,0,285.729451549023
4514451,1,3,1,19,2,3e+05,1,70,5,5,0,234.707409371681
4514452,1,1,1,59,1,7984166.5,1,48,6,2,0,199.281751751171
4514452,1,2,0,53,1,972394.1875,1,48,6,2,0,199.281751751171
4514453,1,2,0,51,2,1.2e+07,1,63,6,5,0,250.166944786892
4514453,1,3,1,50,4,2500000,1,60,6,1,1,250.166944786892
4514454,1,3,1,31,1,2683333.25,1,48,6,2,0,218.683389607824
4514454,1,2,0,56,5,3e+06,1,30,6,3,1,218.683389607824
4514454,1,1,1,58,5,3e+06,1,40,6,3,1,218.683389607824
4514454,1,4,0,28,1,1623333.375,1,36,6,5,0,218.683389607824
4514455,1,2,0,50,4,6e+05,1,40,5,1,1,317.469702468205
4514456,1,3,1,26,1,1300000,1,48,6,4,0,211.987684485728
4514456,1,2,0,46,4,450000,1,40,4,1,1,211.987684485728
4514456,1,1,1,58,4,9e+05,1,48,3,1,1,211.987684485728
4514457,1,2,0,57,2,1550000,1,40,6,5,0,234.119759331995
4514458,1,1,0,49,1,6e+05,1,60,6,2,0,234.707409371681
4514459,1,1,0,58,2,3375000,1,48,6,5,0,238.649511813122
4514460,1,1,0,55,4,4e+05,1,40,4,1,1,236.196839499559
4514460,1,2,1,25,1,883357,1,48,5,4,0,236.196839499559
4514461,1,2,0,29,4,6e+05,1,70,3,1,1,303.383478860131
4514461,1,1,1,36,4,8e+05,1,54,5,1,1,303.383478860131
4514462,1,2,0,51,4,360000,1,45,3,1,1,245.92391197836
4514463,1,1,0,26,1,2654000,1,48,6,5,0,337.736755040595
4514465,1,2,0,57,4,150000,1,66,1,1,1,234.119759331995
4514466,1,1,1,51,1,1500000,1,48,5,2,1,254.687742271476
4514467,1,1,1,45,1,781000,1,70,5,2,0,205.425424579072
4514468,1,1,1,38,1,916666.6875,1,48,5,4,0,194.208921972393
