"log_w","poly(age, 3, raw = TRUE).1","poly(age, 3, raw = TRUE).2","poly(age, 3, raw = TRUE).3","total_hours_worked","relab","p6210","size_firm","informal","poly(exper_yrs, 3, raw = TRUE).1","poly(exper_yrs, 3, raw = TRUE).2","poly(exper_yrs, 3, raw = TRUE).3","female","pred_in","resid_in","h_ii","loo_resid","loo_sqerr","beta_influence"
11.513,    85,  7225,614125,35,"4",3,2,"0",    30,   900, 27000,0,13.134,-1.621,0.030,-1.671,2.792,0.013
11.513,    87,  7569,658503,48,"4",3,1,"1",     3,     9,    27,0,12.596,-1.083,0.039,-1.127,1.271,0.008
15.607,    84,  7056,592704,28,"5",6,2,"1",    45,  2025, 91125,0,14.202, 1.405,0.032, 1.451,2.105,0.006
14.732,    87,  7569,658503,13,"4",6,5,"0",    25,   625, 15625,0,13.890, 0.842,0.041, 0.878,0.770,0.005
16.118,    77,  5929,456533,10,"4",6,1,"0",     7,    49,   343,0,13.304, 2.815,0.009, 2.841,8.071,0.005
12.206,    91,  8281,753571,36,"4",3,1,"1",    40,  1600, 64000,0,12.780,-0.574,0.065,-0.614,0.377,0.005
14.509,    80,  6400,512000,48,"4",3,1,"1",    20,   400,  8000,0,12.949, 1.559,0.013, 1.581,2.498,0.004
14.914,    90,  8100,729000,30,"5",6,4,"0",    60,  3600,216000,0,15.726,-0.811,0.181,-0.991,0.982,0.004
15.497,    80,  6400,512000,25,"1",5,5,"0",    40,  1600, 64000,1,13.875, 1.622,0.015, 1.647,2.711,0.004
 9.903,    77,  5929,456533, 9,"4",1,1,"1",    10,   100,  1000,0,11.933,-2.030,0.009,-2.049,4.198,0.003
